database,url,link
Royal Shakespere Company Archives 1889-2013,https://www-royalshakespearecompanyarchives-amdigital-co-uk.ezproxy.lib.vt.edu/?sessionId=&sessionENC=Cj3r4Uwpg7uR0BOyrZETb%2fw1uITCp31x%2fY4riJxBsmxsfn2vCCPJlnPuS7pPxc%2fIw3NY9yHwzOLrWJWR7JAsiSl8mlXP3lc5EPlWLIANpDw%3d&returnURL=https%3a%2f%2fwww.royalshakespearecompanyarchives.amdigital.co.uk%2f&JWTtoken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ0eXAiOiJFeHQiLCJkYXRhIjp7IldlYnNpdGVLZXkiOiJyc2MiLCJPcmdhbmlzYXRpb25JZCI6IjIyMTY0IiwiT3JnYW5pc2F0aW9uTmFtZSI6IlZpcmdpbmlhIFRlY2giLCJBY2Nlc3NUeXBlIjoiRnVsbCIsIldlYnNpdGVJZCI6IjE1MyJ9LCJleHAiOjE3NDE1NjAxMjIsIm9pZCI6MjIxNjR9.cBG7mMltxoxV_-3_gAVYzRzRONnJuZlUSz0DCoQrfVA,<a href='https://www-royalshakespearecompanyarchives-amdigital-co-uk.ezproxy.lib.vt.edu/?sessionId=&sessionENC=Cj3r4Uwpg7uR0BOyrZETb%2fw1uITCp31x%2fY4riJxBsmxsfn2vCCPJlnPuS7pPxc%2fIw3NY9yHwzOLrWJWR7JAsiSl8mlXP3lc5EPlWLIANpDw%3d&returnURL=https%3a%2f%2fwww.royalshakespearecompanyarchives.amdigital.co.uk%2f&JWTtoken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ0eXAiOiJFeHQiLCJkYXRhIjp7IldlYnNpdGVLZXkiOiJyc2MiLCJPcmdhbmlzYXRpb25JZCI6IjIyMTY0IiwiT3JnYW5pc2F0aW9uTmFtZSI6IlZpcmdpbmlhIFRlY2giLCJBY2Nlc3NUeXBlIjoiRnVsbCIsIldlYnNpdGVJZCI6IjE1MyJ9LCJleHAiOjE3NDE1NjAxMjIsIm9pZCI6MjIxNjR9.cBG7mMltxoxV_-3_gAVYzRzRONnJuZlUSz0DCoQrfVA' target = '_blank'>Royal Shakespere Company Archives 1889-2013</a>
Service Newspapers of World War Two,https://guides.lib.vt.edu/service-newspapers-ww2,<a href='https://guides.lib.vt.edu/service-newspapers-ww2' target = '_blank'>Service Newspapers of World War Two</a>
"Sex & Sexuality, late 19th cent-c. 2020",http://www.sexandsexuality.amdigital.co.uk/,"<a href='http://www.sexandsexuality.amdigital.co.uk/' target = '_blank'>Sex & Sexuality, late 19th cent-c. 2020</a>"
"Shakespeare in Performance: The Folger Shakespeare Library Prompt Books, 1670S-1970s",https://www-shakespeareinperformance-amdigital-co-uk.ezproxy.lib.vt.edu/?sessionId=&sessionENC=CXHykuwOLzlpCg22Lqk13cy%2bVcAs211JDpxiSFKEzbxpk6ol%2bGOui4T17mxcawsP2A1sQ787b8Qc4LUHdS4x5Y8W7m1e2jL6C8lkKiRpA0M%3d&returnURL=https%3a%2f%2fwww.shakespeareinperformance.amdigital.co.uk%2f&JWTtoken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ0eXAiOiJFeHQiLCJkYXRhIjp7IldlYnNpdGVLZXkiOiJzaGFrZXNwZWFyZWlucGVyZm9ybWFuY2UiLCJPcmdhbmlzYXRpb25JZCI6IjIyMTY0IiwiT3JnYW5pc2F0aW9uTmFtZSI6IlZpcmdpbmlhIFRlY2giLCJBY2Nlc3NUeXBlIjoiRnVsbCIsIldlYnNpdGVJZCI6Ijc2In0sImV4cCI6MTc3MDI2MjU2MSwib2lkIjoyMjE2NH0.DHZZ7maUKXYcG5yeFTH2LV9rxQemQggbEPV9aQ1LsXM,"<a href='https://www-shakespeareinperformance-amdigital-co-uk.ezproxy.lib.vt.edu/?sessionId=&sessionENC=CXHykuwOLzlpCg22Lqk13cy%2bVcAs211JDpxiSFKEzbxpk6ol%2bGOui4T17mxcawsP2A1sQ787b8Qc4LUHdS4x5Y8W7m1e2jL6C8lkKiRpA0M%3d&returnURL=https%3a%2f%2fwww.shakespeareinperformance.amdigital.co.uk%2f&JWTtoken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ0eXAiOiJFeHQiLCJkYXRhIjp7IldlYnNpdGVLZXkiOiJzaGFrZXNwZWFyZWlucGVyZm9ybWFuY2UiLCJPcmdhbmlzYXRpb25JZCI6IjIyMTY0IiwiT3JnYW5pc2F0aW9uTmFtZSI6IlZpcmdpbmlhIFRlY2giLCJBY2Nlc3NUeXBlIjoiRnVsbCIsIldlYnNpdGVJZCI6Ijc2In0sImV4cCI6MTc3MDI2MjU2MSwib2lkIjoyMjE2NH0.DHZZ7maUKXYcG5yeFTH2LV9rxQemQggbEPV9aQ1LsXM' target = '_blank'>Shakespeare in Performance: The Folger Shakespeare Library Prompt Books, 1670S-1970s</a>"
"Shakespeare's Globe Archive: Theaters, Players & Performances, 1997-2016",https://guides.lib.vt.edu/shakespeares-globe-archive,"<a href='https://guides.lib.vt.edu/shakespeares-globe-archive' target = '_blank'>Shakespeare's Globe Archive: Theaters, Players & Performances, 1997-2016</a>"
"Slavery, Abolition and Social Justice, 1490-2007",http://www.slavery.amdigital.co.uk.ezproxy.lib.vt.edu/,"<a href='http://www.slavery.amdigital.co.uk.ezproxy.lib.vt.edu/' target = '_blank'>Slavery, Abolition and Social Justice, 1490-2007</a>"
"Socialism on Film, early 20th-1980",https://guides.lib.vt.edu/socialism-on-film,"<a href='https://guides.lib.vt.edu/socialism-on-film' target = '_blank'>Socialism on Film, early 20th-1980</a>"
The Grand Tour 1550-1850,http://www.grandtour.amdigital.co.uk.ezproxy.lib.vt.edu/,<a href='http://www.grandtour.amdigital.co.uk.ezproxy.lib.vt.edu/' target = '_blank'>The Grand Tour 1550-1850</a>
"Trade Catalogues and the American Home, 1850-1950 ",https://guides.lib.vt.edu/trade-catalogues-american-home,"<a href='https://guides.lib.vt.edu/trade-catalogues-american-home' target = '_blank'>Trade Catalogues and the American Home, 1850-1950 </a>"
"Travel Writing, Spectacle and World History, 1835-1976",http://www.travelwriting.amdigital.co.uk.ezproxy.lib.vt.edu/Default.aspx,"<a href='http://www.travelwriting.amdigital.co.uk.ezproxy.lib.vt.edu/Default.aspx' target = '_blank'>Travel Writing, Spectacle and World History, 1835-1976</a>"
"Victorian Popular Culture, c 1779-1930.",https://www-victorianpopularculture-amdigital-co-uk.ezproxy.lib.vt.edu/,"<a href='https://www-victorianpopularculture-amdigital-co-uk.ezproxy.lib.vt.edu/' target = '_blank'>Victorian Popular Culture, c 1779-1930.</a>"
"Virginia Company Archives, 1590-1790 ",https://guides.lib.vt.edu/virginia-company-archives,"<a href='https://guides.lib.vt.edu/virginia-company-archives' target = '_blank'>Virginia Company Archives, 1590-1790 </a>"
"Women in the [UK] National Archives, 1903-1962",https://www-archivesdirect-amdigital-co-uk.ezproxy.lib.vt.edu/WTNA,"<a href='https://www-archivesdirect-amdigital-co-uk.ezproxy.lib.vt.edu/WTNA' target = '_blank'>Women in the [UK] National Archives, 1903-1962</a>"
Women's Voices and Life Writing 1600-1968,https://www-womensvoicesandlifewriting-amdigital-co-uk.ezproxy.lib.vt.edu/,<a href='https://www-womensvoicesandlifewriting-amdigital-co-uk.ezproxy.lib.vt.edu/' target = '_blank'>Women's Voices and Life Writing 1600-1968</a>
"World's Fairs: A Global History of Expositions, 1851-2015",https://guides.lib.vt.edu/worlds-fairs,"<a href='https://guides.lib.vt.edu/worlds-fairs' target = '_blank'>World's Fairs: A Global History of Expositions, 1851-2015</a>"
Ancestry Library Edition,https://guides.lib.vt.edu/ancestry-library-edition,<a href='https://guides.lib.vt.edu/ancestry-library-edition' target = '_blank'>Ancestry Library Edition</a>
Newspapers.com World Edition 1690-2025,https://guides.lib.vt.edu/newspapers,<a href='https://guides.lib.vt.edu/newspapers' target = '_blank'>Newspapers.com World Edition 1690-2025</a>
"Historical Statistics of the US, Millennial Edition 1949-21st cent.",https://guides.lib.vt.edu/historical-statistics-of-the-us,"<a href='https://guides.lib.vt.edu/historical-statistics-of-the-us' target = '_blank'>Historical Statistics of the US, Millennial Edition 1949-21st cent.</a>"
Canadiana [open access] 1500-2000,http://www.canadiana.ca/,<a href='http://www.canadiana.ca/' target = '_blank'>Canadiana [open access] 1500-2000</a>
East African Newspapers 1943-2017,https://gpa.eastview.com/crl/ean/,<a href='https://gpa.eastview.com/crl/ean/' target = '_blank'>East African Newspapers 1943-2017</a>
"Imperial Russian Newspapers, 1782-1917",https://gpa.eastview.com/crl/irn/,"<a href='https://gpa.eastview.com/crl/irn/' target = '_blank'>Imperial Russian Newspapers, 1782-1917</a>"
"Independent and Revolutionary Mexican Newspapers, 1807-1899",https://gpa.eastview.com/crl/irmn,"<a href='https://gpa.eastview.com/crl/irmn' target = '_blank'>Independent and Revolutionary Mexican Newspapers, 1807-1899</a>"
"Late Qing and Republican-Era Chinese Newspapers, 1911-1949",https://gpa.eastview.com/crl/lqrcn/,"<a href='https://gpa.eastview.com/crl/lqrcn/' target = '_blank'>Late Qing and Republican-Era Chinese Newspapers, 1911-1949</a>"
Local and Independent Ukrainian Newspapers  1989-2001,https://gpa-eastview-com.ezproxy.lib.vt.edu/crl/liun/,<a href='https://gpa-eastview-com.ezproxy.lib.vt.edu/crl/liun/' target = '_blank'>Local and Independent Ukrainian Newspapers  1989-2001</a>
LLMC,https://discover-llmc-com.ezproxy.lib.vt.edu/,<a href='https://discover-llmc-com.ezproxy.lib.vt.edu/' target = '_blank'>LLMC</a>
South Asian Newspapers,https://www.eastview.com/resources/gpa/crl-san/,<a href='https://www.eastview.com/resources/gpa/crl-san/' target = '_blank'>South Asian Newspapers</a>
"Middle Eastern and North African Newspapers, 1870-2019",https://gpa.eastview.com/crl/mena/,"<a href='https://gpa.eastview.com/crl/mena/' target = '_blank'>Middle Eastern and North African Newspapers, 1870-2019</a>"
Daily Observer Digital Archive 1981-2016,https://gpa-eastview-com.ezproxy.lib.vt.edu/crl/doda/,<a href='https://gpa-eastview-com.ezproxy.lib.vt.edu/crl/doda/' target = '_blank'>Daily Observer Digital Archive 1981-2016</a>
El Caribe Digital Archive 1956-2021,https://gpa-eastview-com.ezproxy.lib.vt.edu/crl/elcaribe/,<a href='https://gpa-eastview-com.ezproxy.lib.vt.edu/crl/elcaribe/' target = '_blank'>El Caribe Digital Archive 1956-2021</a>
El Mundo Digital Archive 1919-1990,https://gpa-eastview-com.ezproxy.lib.vt.edu/crl/elmundo/,<a href='https://gpa-eastview-com.ezproxy.lib.vt.edu/crl/elmundo/' target = '_blank'>El Mundo Digital Archive 1919-1990</a>
South Asia Open Archives (SAOA),https://guides.lib.vt.edu/saoa,<a href='https://guides.lib.vt.edu/saoa' target = '_blank'>South Asia Open Archives (SAOA)</a>
Soviet-Era Ukrainian Newspapers 1899-1939,https://gpa-eastview-com.ezproxy.lib.vt.edu/crl/seun/,<a href='https://gpa-eastview-com.ezproxy.lib.vt.edu/crl/seun/' target = '_blank'>Soviet-Era Ukrainian Newspapers 1899-1939</a>
Africa Commons,https://guides.lib.vt.edu/african-commons,<a href='https://guides.lib.vt.edu/african-commons' target = '_blank'>Africa Commons</a>
South Asia Commons 17th-21st cent,https://guides.lib.vt.edu/south-asian-commons,<a href='https://guides.lib.vt.edu/south-asian-commons' target = '_blank'>South Asia Commons 17th-21st cent</a>
Making of America (19th Century in Print) - Cornell,http://ebooks.library.cornell.edu/cgi/t/text/text-idx?xc=1&page=simple&g=moagrp,<a href='http://ebooks.library.cornell.edu/cgi/t/text/text-idx?xc=1&page=simple&g=moagrp' target = '_blank'>Making of America (19th Century in Print) - Cornell</a>
C-SPAN Video Library [open access] 1979-2025,https://www.c-span.org/quick-guide/,<a href='https://www.c-span.org/quick-guide/' target = '_blank'>C-SPAN Video Library [open access] 1979-2025</a>
Digital Virginias  [open access] 16th-21st cent,https://www.digitalvirginias.org/,<a href='https://www.digitalvirginias.org/' target = '_blank'>Digital Virginias  [open access] 16th-21st cent</a>
Current Digest of the Russian Press (1949- ) in English,https://dlib-eastview-com.ezproxy.lib.vt.edu/browse/udb/350,<a href='https://dlib-eastview-com.ezproxy.lib.vt.edu/browse/udb/350' target = '_blank'>Current Digest of the Russian Press (1949- ) in English</a>
Izvestiia Digital Archive (1917- ) in Russian,https://gpa-eastview-com.ezproxy.lib.vt.edu/izv/,<a href='https://gpa-eastview-com.ezproxy.lib.vt.edu/izv/' target = '_blank'>Izvestiia Digital Archive (1917- ) in Russian</a>
Post-Perestroika Newspapers Digital Archive 1984-2022,https://gpa-eastview-com.ezproxy.lib.vt.edu/crl/ppn/,<a href='https://gpa-eastview-com.ezproxy.lib.vt.edu/crl/ppn/' target = '_blank'>Post-Perestroika Newspapers Digital Archive 1984-2022</a>
Pravda Digital Archive (1912- ) in Russian,https://gpa-eastview-com.ezproxy.lib.vt.edu/pra/,<a href='https://gpa-eastview-com.ezproxy.lib.vt.edu/pra/' target = '_blank'>Pravda Digital Archive (1912- ) in Russian</a>
Rossiiskaia istoriia  (2000- ) in Russian,https://dlib-eastview-com.ezproxy.lib.vt.edu/browse/udb/12,<a href='https://dlib-eastview-com.ezproxy.lib.vt.edu/browse/udb/12' target = '_blank'>Rossiiskaia istoriia  (2000- ) in Russian</a>
Voprosy istorii (1945-2019) in Russian,https://dlib-eastview-com.ezproxy.lib.vt.edu/browse/udb/12,<a href='https://dlib-eastview-com.ezproxy.lib.vt.edu/browse/udb/12' target = '_blank'>Voprosy istorii (1945-2019) in Russian</a>
Forbes (Magazine Archive) 1917-2000,https://research-ebsco-com.ezproxy.lib.vt.edu/c/w5gwtr/search/advanced/publications/FRB?defaultdb=ada%2Cfba%2Clma%2Cnch&isDashboardExpanded=true&selectedDb=fbajnh&selectedAlphabet=F,<a href='https://research-ebsco-com.ezproxy.lib.vt.edu/c/w5gwtr/search/advanced/publications/FRB?defaultdb=ada%2Cfba%2Clma%2Cnch&isDashboardExpanded=true&selectedDb=fbajnh&selectedAlphabet=F' target = '_blank'>Forbes (Magazine Archive) 1917-2000</a>
National Review  (Magazine Archive) 1955-2020,https://research-ebsco-com.ezproxy.lib.vt.edu/c/w5gwtr/search/advanced/publications/NRV?defaultdb=ada%2Cfba%2Clma%2Cnch&isDashboardExpanded=true&selectedDb=nchjnh&selectedAlphabet=N,<a href='https://research-ebsco-com.ezproxy.lib.vt.edu/c/w5gwtr/search/advanced/publications/NRV?defaultdb=ada%2Cfba%2Clma%2Cnch&isDashboardExpanded=true&selectedDb=nchjnh&selectedAlphabet=N' target = '_blank'>National Review  (Magazine Archive) 1955-2020</a>
Life  (Magazine Archive) 1883-2020,https://research-ebsco-com.ezproxy.lib.vt.edu/c/w5gwtr/search/advanced/publications/NRV?defaultdb=ada%2Cfba%2Clma%2Cnch&isDashboardExpanded=true&selectedDb=lmajnh&selectedAlphabet=N,<a href='https://research-ebsco-com.ezproxy.lib.vt.edu/c/w5gwtr/search/advanced/publications/NRV?defaultdb=ada%2Cfba%2Clma%2Cnch&isDashboardExpanded=true&selectedDb=lmajnh&selectedAlphabet=N' target = '_blank'>Life  (Magazine Archive) 1883-2020</a>
Archetectural Digest  (Magazine Archive) 1922-2011,https://research-ebsco-com.ezproxy.lib.vt.edu/c/w5gwtr/search/advanced/publications/HBX6?defaultdb=ada%2Cfba%2Clma%2Cnch&isDashboardExpanded=true&selectedDb=adajnh,<a href='https://research-ebsco-com.ezproxy.lib.vt.edu/c/w5gwtr/search/advanced/publications/HBX6?defaultdb=ada%2Cfba%2Clma%2Cnch&isDashboardExpanded=true&selectedDb=adajnh' target = '_blank'>Archetectural Digest  (Magazine Archive) 1922-2011</a>
Europeana portal [open access] 1680-1989,https://www.europeana.eu/en,<a href='https://www.europeana.eu/en' target = '_blank'>Europeana portal [open access] 1680-1989</a>
Europeana: Newspapers [open access] 1680-1989,https://www.europeana.eu/en/themes/newspapers,<a href='https://www.europeana.eu/en/themes/newspapers' target = '_blank'>Europeana: Newspapers [open access] 1680-1989</a>
[London] Sunday Times Historical Archive 1822-2016,https://go-gale-com.ezproxy.lib.vt.edu/ps/dispBasicSearch.do?userGroupName=viva_vpi&prodId=STHA,<a href='https://go-gale-com.ezproxy.lib.vt.edu/ps/dispBasicSearch.do?userGroupName=viva_vpi&prodId=STHA' target = '_blank'>[London] Sunday Times Historical Archive 1822-2016</a>
[London] Times Digital Archive 1822-2016,https://go-gale-com.ezproxy.lib.vt.edu/ps/dispBasicSearch.do?userGroupName=viva_vpi&prodId=STHA,<a href='https://go-gale-com.ezproxy.lib.vt.edu/ps/dispBasicSearch.do?userGroupName=viva_vpi&prodId=STHA' target = '_blank'>[London] Times Digital Archive 1822-2016</a>
[London] Times Literary Supplement Historical Archive 1902-2014,https://go-gale-com.ezproxy.lib.vt.edu/ps/dispBasicSearch.do?userGroupName=viva_vpi&prodId=TLSH,<a href='https://go-gale-com.ezproxy.lib.vt.edu/ps/dispBasicSearch.do?userGroupName=viva_vpi&prodId=TLSH' target = '_blank'>[London] Times Literary Supplement Historical Archive 1902-2014</a>
"American Fiction, 1774-1920",https://go-gale-com.ezproxy.lib.vt.edu/ps/dispBasicSearch.do?userGroupName=viva_vpi&prodId=AMFN,"<a href='https://go-gale-com.ezproxy.lib.vt.edu/ps/dispBasicSearch.do?userGroupName=viva_vpi&prodId=AMFN' target = '_blank'>American Fiction, 1774-1920</a>"
American Historical Periodicals from the American Antiquarian Society 1681-1926,https://go-gale-com.ezproxy.lib.vt.edu/ps/dispBasicSearch.do?userGroupName=viva_vpi&prodId=AAHP,<a href='https://go-gale-com.ezproxy.lib.vt.edu/ps/dispBasicSearch.do?userGroupName=viva_vpi&prodId=AAHP' target = '_blank'>American Historical Periodicals from the American Antiquarian Society 1681-1926</a>
Archives of Sexuality and Gender 1700-2021,https://go-gale-com.ezproxy.lib.vt.edu/ps/dispBasicSearch.do?userGroupName=viva_vpi&prodId=AHSI,<a href='https://go-gale-com.ezproxy.lib.vt.edu/ps/dispBasicSearch.do?userGroupName=viva_vpi&prodId=AHSI' target = '_blank'>Archives of Sexuality and Gender 1700-2021</a>
Associated Press Collections Online 1840-2013,https://go-gale-com.ezproxy.lib.vt.edu/ps/dispBasicSearch.do?userGroupName=viva_vpi&prodId=APOA,<a href='https://go-gale-com.ezproxy.lib.vt.edu/ps/dispBasicSearch.do?userGroupName=viva_vpi&prodId=APOA' target = '_blank'>Associated Press Collections Online 1840-2013</a>
Brazilian and Portuguese History and Culture 1500-1930,https://go-gale-com.ezproxy.lib.vt.edu/ps/dispBasicSearch.do?userGroupName=viva_vpi&prodId=BPHC,<a href='https://go-gale-com.ezproxy.lib.vt.edu/ps/dispBasicSearch.do?userGroupName=viva_vpi&prodId=BPHC' target = '_blank'>Brazilian and Portuguese History and Culture 1500-1930</a>
British Library Newspapers 18th-20th cent.,https://go-gale-com.ezproxy.lib.vt.edu/ps/dispBasicSearch.do?userGroupName=viva_vpi&prodId=BNCN,<a href='https://go-gale-com.ezproxy.lib.vt.edu/ps/dispBasicSearch.do?userGroupName=viva_vpi&prodId=BNCN' target = '_blank'>British Library Newspapers 18th-20th cent.</a>
"City and Business Directories: Virginia, 1801-1929  [Archives Unbound]",https://go-gale-com.ezproxy.lib.vt.edu/ps/aboutThisCollection?userGroupName=viva_vpi&inPS=true&mCode=6CTS&prodId=GDSC,"<a href='https://go-gale-com.ezproxy.lib.vt.edu/ps/aboutThisCollection?userGroupName=viva_vpi&inPS=true&mCode=6CTS&prodId=GDSC' target = '_blank'>City and Business Directories: Virginia, 1801-1929  [Archives Unbound]</a>"
"City and Business Directories: West Virginia, 1839-1929  [Archives Unbound]",https://go-gale-com.ezproxy.lib.vt.edu/ps/aboutThisCollection?userGroupName=viva_vpi&inPS=true&mCode=6CTR&prodId=GDSC,"<a href='https://go-gale-com.ezproxy.lib.vt.edu/ps/aboutThisCollection?userGroupName=viva_vpi&inPS=true&mCode=6CTR&prodId=GDSC' target = '_blank'>City and Business Directories: West Virginia, 1839-1929  [Archives Unbound]</a>"
Eighteenth Century Collections Online,https://go-gale-com.ezproxy.lib.vt.edu/ps/dispBasicSearch.do?userGroupName=viva_vpi&prodId=ECCO,<a href='https://go-gale-com.ezproxy.lib.vt.edu/ps/dispBasicSearch.do?userGroupName=viva_vpi&prodId=ECCO' target = '_blank'>Eighteenth Century Collections Online</a>
Environmental History 1870-1993,https://go-gale-com.ezproxy.lib.vt.edu/ps/dispBasicSearch.do?userGroupName=viva_vpi&prodId=ENVH,<a href='https://go-gale-com.ezproxy.lib.vt.edu/ps/dispBasicSearch.do?userGroupName=viva_vpi&prodId=ENVH' target = '_blank'>Environmental History 1870-1993</a>
"Europe and Africa: Commerce, Christianity, Civilization, and Conquest 18th-20th cent.",https://go-gale-com.ezproxy.lib.vt.edu/ps/aboutThisArchive?userGroupName=viva_vpi&inPS=true&mCode=5YIX&prodId=NCCO&aty=ip,"<a href='https://go-gale-com.ezproxy.lib.vt.edu/ps/aboutThisArchive?userGroupName=viva_vpi&inPS=true&mCode=5YIX&prodId=NCCO&aty=ip' target = '_blank'>Europe and Africa: Commerce, Christianity, Civilization, and Conquest 18th-20th cent.</a>"
Financial Times Historical Archive 1888-2021,https://go-gale-com.ezproxy.lib.vt.edu/ps/dispBasicSearch.do?userGroupName=viva_vpi&prodId=FTHA,<a href='https://go-gale-com.ezproxy.lib.vt.edu/ps/dispBasicSearch.do?userGroupName=viva_vpi&prodId=FTHA' target = '_blank'>Financial Times Historical Archive 1888-2021</a>
History of Disabilities 1648-2000,https://go-gale-com.ezproxy.lib.vt.edu/ps/dispBasicSearch.do?userGroupName=viva_vpi&prodId=HODI,<a href='https://go-gale-com.ezproxy.lib.vt.edu/ps/dispBasicSearch.do?userGroupName=viva_vpi&prodId=HODI' target = '_blank'>History of Disabilities 1648-2000</a>
"Illustrated London News Historical Archive, 1842-2003","https://go-gale-com.ezproxy.lib.vt.edu/ps/basicSearch.do?inputFieldValue%280%29=illustrated%20london%20news%20historical%20archives%201842%202003&inputFieldName%280%29=OQE&searchType=BasicSearchForm&userGroupName=viva_vpi&prodId=GDCS&method=doSearch&suggestionFor=Illustrated%20London%20News%20Historical%20Archive,%201842-2003","<a href='https://go-gale-com.ezproxy.lib.vt.edu/ps/basicSearch.do?inputFieldValue%280%29=illustrated%20london%20news%20historical%20archives%201842%202003&inputFieldName%280%29=OQE&searchType=BasicSearchForm&userGroupName=viva_vpi&prodId=GDCS&method=doSearch&suggestionFor=Illustrated%20London%20News%20Historical%20Archive,%201842-2003' target = '_blank'>Illustrated London News Historical Archive, 1842-2003</a>"
Indigenous Peoples of North America 1665-1988,https://go-gale-com.ezproxy.lib.vt.edu/ps/dispBasicSearch.do?userGroupName=viva_vpi&prodId=INDP,<a href='https://go-gale-com.ezproxy.lib.vt.edu/ps/dispBasicSearch.do?userGroupName=viva_vpi&prodId=INDP' target = '_blank'>Indigenous Peoples of North America 1665-1988</a>
Making of the Modern World 1468-1993,https://go-gale-com.ezproxy.lib.vt.edu/ps/dispBasicSearch.do?userGroupName=viva_vpi&prodId=MOME,<a href='https://go-gale-com.ezproxy.lib.vt.edu/ps/dispBasicSearch.do?userGroupName=viva_vpi&prodId=MOME' target = '_blank'>Making of the Modern World 1468-1993</a>
Mountain People: Life and Culture in Appalachia [in Archives Unbound] 1700-1950,https://guides.lib.vt.edu/mountain-people-life-and-culture-in-appalachia,<a href='https://guides.lib.vt.edu/mountain-people-life-and-culture-in-appalachia' target = '_blank'>Mountain People: Life and Culture in Appalachia [in Archives Unbound] 1700-1950</a>
Nineteenth Century Collections Online 1479-2003,https://go-gale-com.ezproxy.lib.vt.edu/ps/dispBasicSearch.do?userGroupName=viva_vpi&prodId=NCCO1479-2003,<a href='https://go-gale-com.ezproxy.lib.vt.edu/ps/dispBasicSearch.do?userGroupName=viva_vpi&prodId=NCCO1479-2003' target = '_blank'>Nineteenth Century Collections Online 1479-2003</a>
Nineteenth Century U.S. Newspapers 1800-1899,https://go-gale-com.ezproxy.lib.vt.edu/ps/dispBasicSearch.do?userGroupName=viva_vpi&prodId=NCNP,<a href='https://go-gale-com.ezproxy.lib.vt.edu/ps/dispBasicSearch.do?userGroupName=viva_vpi&prodId=NCNP' target = '_blank'>Nineteenth Century U.S. Newspapers 1800-1899</a>
Political Extremism and Radicalism 1776-2017,https://go-gale-com.ezproxy.lib.vt.edu/ps/dispBasicSearch.do?userGroupName=viva_vpi&prodId=PLEX,<a href='https://go-gale-com.ezproxy.lib.vt.edu/ps/dispBasicSearch.do?userGroupName=viva_vpi&prodId=PLEX' target = '_blank'>Political Extremism and Radicalism 1776-2017</a>
"Public Health Archives: Public Health in Modern America, 1890-1970",https://www.gale.com/c/public-health-in-modern-america-1890-1970,"<a href='https://www.gale.com/c/public-health-in-modern-america-1890-1970' target = '_blank'>Public Health Archives: Public Health in Modern America, 1890-1970</a>"
"Sabin Americana: History of the Americas, 1500-1926",https://go-gale-com.ezproxy.lib.vt.edu/ps/dispBasicSearch.do?userGroupName=viva_vpi&prodId=SABN,"<a href='https://go-gale-com.ezproxy.lib.vt.edu/ps/dispBasicSearch.do?userGroupName=viva_vpi&prodId=SABN' target = '_blank'>Sabin Americana: History of the Americas, 1500-1926</a>"
Seventeenth and Eighteenth Century Burney Newspapers Collection 1604-1804,https://go-gale-com.ezproxy.lib.vt.edu/ps/dispBasicSearch.do?userGroupName=viva_vpi&prodId=BBCN,<a href='https://go-gale-com.ezproxy.lib.vt.edu/ps/dispBasicSearch.do?userGroupName=viva_vpi&prodId=BBCN' target = '_blank'>Seventeenth and Eighteenth Century Burney Newspapers Collection 1604-1804</a>
Seventeenth and Eighteenth Century Nichols Newspapers Collection 1672-1738,https://go-gale-com.ezproxy.lib.vt.edu/ps/dispBasicSearch.do?userGroupName=viva_vpi&prodId=NICN,<a href='https://go-gale-com.ezproxy.lib.vt.edu/ps/dispBasicSearch.do?userGroupName=viva_vpi&prodId=NICN' target = '_blank'>Seventeenth and Eighteenth Century Nichols Newspapers Collection 1672-1738</a>
Smithsonian Collections Online 1742-2010,https://link-gale-com.ezproxy.lib.vt.edu/apps/SMIT,<a href='https://link-gale-com.ezproxy.lib.vt.edu/apps/SMIT' target = '_blank'>Smithsonian Collections Online 1742-2010</a>
The Economist Historical Archive 1843-2020,https://go-gale-com.ezproxy.lib.vt.edu/ps/dispBasicSearch.do?userGroupName=viva_vpi&prodId=ECON,<a href='https://go-gale-com.ezproxy.lib.vt.edu/ps/dispBasicSearch.do?userGroupName=viva_vpi&prodId=ECON' target = '_blank'>The Economist Historical Archive 1843-2020</a>
Loeb Classical Library 800 B.C.E.-1000 C.E.,https://www-loebclassics-com.ezproxy.lib.vt.edu/,<a href='https://www-loebclassics-com.ezproxy.lib.vt.edu/' target = '_blank'>Loeb Classical Library 800 B.C.E.-1000 C.E.</a>
Air and Space Law 1822-2016,https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=space&set_as_cursor=clear,<a href='https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=space&set_as_cursor=clear' target = '_blank'>Air and Space Law 1822-2016</a>
Canada Supreme Court Reports 1888-1969,https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=cscreports&set_as_cursor=clear,<a href='https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=cscreports&set_as_cursor=clear' target = '_blank'>Canada Supreme Court Reports 1888-1969</a>
Civil Rights and Social Justice 1606-2025,https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=civil&set_as_cursor=clear,<a href='https://heinonline-org.ezproxy.lib.vt.edu/HOL/Index?collection=civil&set_as_cursor=clear' target = '_blank'>Civil Rights and Social Justice 1606-2025</a>
